Time,Subsystem #1|Branch Currents|MAINIA,Subsystem #1|Branch Currents|MAINIB,Subsystem #1|Branch Currents|MAINIC
0.06116422,0.048881963,0.142713159,-0.165235922
0.06133088,0.043062299,0.150668308,-0.16767706
0.06149754,0.037141584,0.158018529,-0.169515848
0.0616642,0.031137118,0.164747685,-0.170752093
0.06183086,0.025064172,0.170841843,-0.171385378
0.06199752,0.018936865,0.176289588,-0.171416104
0.06216418,0.012767366,0.181080818,-0.170843631
0.06233084,0.006566522,0.185205668,-0.169665903
0.0624975,3.45E-04,0.188655898,-0.167881578
0.06266416,-0.005887454,0.19142352,-0.165489018
0.06283082,-0.012119114,0.193501577,-0.162488043
0.06299748,-0.018338429,0.194883406,-0.158879161
0.06316414,-0.024532372,0.195562497,-0.154663727
0.0633308,-0.030686233,0.195533097,-0.149845317
0.06349746,-0.036783464,0.194789961,-0.144429594
0.06366412,-0.042805556,0.193328589,-0.138424575
0.06383078,-0.048731837,0.191145375,-0.131841257
0.06399744,-0.054539435,0.188238442,-0.12469428
0.0641641,-0.060203321,0.184607521,-0.117001869
0.06433076,-0.065696374,0.180254385,-0.108786315
0.06449742,-0.070989855,0.175183535,-0.100074224
0.06466408,-0.076053627,0.169402465,-0.09089648
0.06483074,-0.080857404,0.162923589,-0.081289046
0.0649974,-0.085369453,0.155760855,-0.071290948
0.06516406,-0.089558028,0.147932291,-0.060945246
0.06533072,-0.093392737,0.139461175,-0.050299145
0.06549738,-0.096844472,0.130375162,-0.039402828
0.06566404,-0.099885955,0.120706536,-0.028309552
0.0658307,-0.102492981,0.1104929,-0.01707493
0.06599736,-0.104644559,0.099776506,-0.005756201
0.06616402,-0.106322981,0.088603668,0.005588451
0.06633068,-0.107514687,0.077024892,0.01690069
0.06649734,-0.108210631,0.065094337,0.02812277
0.066664,-0.108405963,0.052868873,0.039198119
0.06683066,-0.108100422,0.040407896,0.050072107
0.06699732,-0.107298397,0.027772773,0.060692575
0.06716398,-0.106008545,0.015026015,0.071010202
0.06733064,-0.104243591,0.002230533,0.080979019
0.0674973,-0.102020919,-0.01055054,0.09055724
0.06766396,-0.099360816,-0.023255024,0.099706791
